City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Wanaka,NZ,-44.7,169.15,59.4,67,99,1.59,overcast clouds
132,Rio Gallegos,AR,-51.6226,-69.2181,64.4,25,40,26.46,scattered clouds
133,Kununurra,AU,-15.7667,128.7333,77.0,100,75,4.61,broken clouds
134,Planaltina,BR,-15.4528,-47.6142,82.4,61,75,6.91,broken clouds
135,Tuatapere,NZ,-46.1333,167.6833,54.72,87,98,2.21,overcast clouds
136,Aleksandrov Gay,RU,50.147,48.5704,36.61,97,100,8.88,overcast clouds
137,Volchansk,RU,59.9378,60.081,14.23,97,100,7.25,snow
138,Energetik,RU,51.7445,58.7934,33.93,91,100,15.77,overcast clouds
139,Bella Vista,US,36.4295,-94.2316,51.01,34,75,12.66,broken clouds
140,Plettenberg Bay,ZA,-34.0527,23.3716,69.21,90,2,3.38,clear sky
141,Strezhevoy,RU,60.7333,77.5889,10.4,92,90,6.71,overcast clouds
142,Hamilton,US,39.1834,-84.5333,35.01,55,90,16.11,overcast clouds
143,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,75,75,11.5,light snow
144,Panama City,PA,8.9936,-79.5197,89.6,62,40,16.11,scattered clouds
145,Port-Gentil,GA,-0.7193,8.7815,82.4,83,40,8.05,scattered clouds
146,Gao,ML,16.6362,1.637,78.21,15,0,9.57,clear sky
147,Lixourion,GR,38.2019,20.4314,57.2,88,20,7.54,few clouds
148,Sobolevo,RU,54.4299,31.8996,9.99,96,89,6.49,snow
149,Victoria,HK,22.2855,114.1577,64.99,77,0,5.14,clear sky
150,Santa Cruz Del Sur,CU,20.7147,-77.9956,81.68,54,0,7.38,light rain
151,Palmer,US,42.1584,-72.3287,39.99,81,90,9.22,overcast clouds
152,Lady Lake,US,28.9175,-81.9229,75.2,41,90,16.11,overcast clouds
153,Chulman,RU,56.8479,124.9104,-25.56,85,100,3.44,overcast clouds
154,Itupiranga,BR,-5.1347,-49.3267,91.4,62,40,6.91,scattered clouds
155,Aleppo,SY,36.25,37.5,51.84,78,0,3.02,clear sky
156,Monrovia,LR,6.3005,-10.7969,82.4,74,40,5.75,scattered clouds
157,Rognan,NO,67.0953,15.3878,21.99,91,60,3.83,broken clouds
158,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,86.0,42,0,4.0,clear sky
159,Hami,CN,42.8,93.45,29.14,86,100,1.07,overcast clouds
160,Koumac,NC,-20.5667,164.2833,76.57,79,1,2.28,clear sky
161,Beloha,MG,-25.1667,45.05,77.2,88,66,1.48,broken clouds
162,Sao Filipe,CV,14.8961,-24.4956,71.38,73,3,17.81,clear sky
163,Blackwater,AU,-23.5833,148.8833,71.1,79,1,7.96,clear sky
164,Cidreira,BR,-30.1811,-50.2056,73.56,64,35,19.37,scattered clouds
165,Morant Bay,JM,17.8815,-76.4093,86.0,74,20,21.85,few clouds
166,Namtsy,RU,62.7161,129.6658,-43.6,60,92,3.96,fog
167,Nantucket,US,41.2835,-70.0995,44.01,87,90,13.8,light rain
168,Kodiak,US,57.79,-152.4072,30.2,74,20,2.57,few clouds
169,Barrow,US,71.2906,-156.7887,-14.8,76,75,8.05,mist
170,Borgarnes,IS,64.5383,-21.9206,35.6,60,20,12.66,few clouds
171,Xichang,CN,27.8964,102.2634,42.39,64,0,1.36,clear sky
172,Warmbad,NA,-28.45,18.7333,88.25,13,0,10.45,clear sky
173,Te Anau,NZ,-45.4167,167.7167,55.53,89,79,0.81,broken clouds
174,Gander,CA,48.9682,-54.5906,37.4,100,90,5.75,light intensity drizzle
175,Cabadiangan,PH,9.7531,122.4739,76.23,84,52,6.96,broken clouds
176,Mantua,IT,45.1667,10.7833,50.0,92,80,1.3,broken clouds
177,Nanpara,IN,27.8667,81.5,55.38,79,0,4.32,clear sky
178,Murgab,TM,37.4966,61.9714,50.0,46,31,6.91,scattered clouds
179,Talnakh,RU,69.4865,88.3972,-26.23,84,93,4.76,overcast clouds
180,Ilinge,ZA,-31.9768,27.0427,65.84,89,100,8.66,overcast clouds
181,Bud,US,39.447,-86.1758,30.99,74,100,19.55,overcast clouds
182,Antsohihy,MG,-14.8796,47.9875,76.28,91,84,2.26,broken clouds
183,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-7.6,71,100,8.95,overcast clouds
184,College,US,64.8569,-147.8028,-18.4,63,40,8.05,scattered clouds
185,Alekseyevka,RU,50.6309,38.6903,17.08,91,96,15.48,overcast clouds
186,Mananara,MG,-16.1667,49.7667,76.57,80,69,0.87,broken clouds
187,Mizan Teferi,ET,6.9833,35.5833,68.83,47,10,1.79,clear sky
188,Houma,US,29.5958,-90.7195,54.0,71,90,11.5,overcast clouds
189,Port Elizabeth,ZA,-33.918,25.5701,71.6,88,90,11.5,overcast clouds
190,Port Keats,AU,-14.25,129.55,81.18,83,100,10.94,overcast clouds
191,Angra Dos Reis,BR,-23.0067,-44.3181,78.8,78,90,14.97,heavy intensity rain
192,Quatre Cocos,MU,-20.2078,57.7625,80.6,78,40,8.05,light rain
