City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Okha,RU,2021-02-04 02:16:22,53.5739,142.9478,-19.55,79,2,20.07
115,Kaitangata,NZ,2021-02-04 02:16:23,-46.2817,169.8464,57.0,61,0,10.0
116,Kahului,US,2021-02-04 02:14:50,20.8947,-156.47,68.0,77,40,27.63
117,Bontang,ID,2021-02-04 02:16:23,0.1333,117.5,82.49,71,99,3.02
118,Zurrieq,MT,2021-02-04 02:16:23,35.8311,14.4742,57.0,100,20,3.44
119,Biak,ID,2021-02-04 02:16:23,-0.9131,122.8766,76.86,84,99,2.71
120,Fairbanks,US,2021-02-04 02:12:05,64.8378,-147.7164,-5.8,77,90,3.44
121,San Patricio,US,2021-02-04 02:16:23,28.017,-97.5169,69.8,78,1,14.97
122,Llanes,ES,2021-02-04 02:16:23,43.4198,-4.7549,57.99,68,70,5.53
123,Payakumbuh,ID,2021-02-04 02:16:24,-0.2202,100.6308,72.93,88,95,2.17
124,Burnie,AU,2021-02-04 02:16:24,-41.0667,145.9167,71.01,66,90,10.0
125,Flin Flon,CA,2021-02-04 02:15:04,54.7682,-101.865,-1.75,92,100,9.35
126,Phalodi,IN,2021-02-04 02:16:24,27.1333,72.3667,59.11,34,0,9.15
127,Kieta,PG,2021-02-04 02:16:24,-6.2167,155.6333,84.74,74,61,11.83
128,Yellowknife,CA,2021-02-04 02:16:24,62.456,-114.3525,-18.0,76,90,9.22
129,Broken Hill,AU,2021-02-04 02:16:24,-31.95,141.4333,87.8,18,100,13.8
130,Guerrero Negro,MX,2021-02-04 02:14:16,27.9769,-114.0611,62.71,76,99,18.12
131,Songjianghe,CN,2021-02-04 02:16:25,42.1859,127.479,2.55,79,0,10.51
132,Kavieng,PG,2021-02-04 02:11:38,-2.5744,150.7967,84.85,68,52,7.78
133,Yumen,CN,2021-02-04 02:16:25,40.2833,97.2,26.71,68,19,23.4
134,Saskylakh,RU,2021-02-04 02:12:09,71.9167,114.0833,-37.7,78,0,7.11
135,Aquiles Serdan,MX,2021-02-04 02:16:25,17.7833,-92.2833,69.8,78,75,3.74
136,Mahebourg,MU,2021-02-04 02:14:41,-20.4081,57.7,77.0,88,40,2.3
